340.44,18.42,23.2,52,998.08
12.604,24.16,17.6,61.6,997.36
0,14.08,13,85.4,1000.9
69.186,14.52,8.4,82.8,1001.4
252.4,16.24,13.4,72.6,999.8
818.82,22.48,9.6,59.8,987.5
35.474,16,38.8,83.4,983.8
0,30.78,23,43,987.54
0,13.72,15.2,71.4,998.6
2.516,20.48,11,95.2,986.42
652.66,35.66,28.2,18,994.76
108.99,11.2,12.2,66.8,992.6
651.15,19.7,36,34.8,997.36
0,15.927,15.739,70.048,998.6
0,13.6,10.6,70.6,998.3
771.33,22.1,24.4,26.8,994.66
0,12.765,19.537,78.265,1003.5
243.67,19.62,13.8,70.2,987.6
574.6,21.38,21.2,54.8,999.4
475.59,13.1,18,50.4,1008.5
329.58,12.66,11.8,70.6,998.3
0,27.04,38.6,32.6,991.8
96.656,9.4,16.8,85.6,997.52
16.192,12.28,0,80.2,999.28
0,10.26,19.8,57.2,1004.6
0,6.06,17,81.2,1001.6
1119.7,17.44,24.2,25.8,1008.2
429.66,31.92,33.8,53,988.12
197.93,36,31.6,31,985.1
917.77,22.14,40,34.2,999.98
0,26.56,15.8,64.8,988.8
500.49,15.24,20,59,1001.9
1030.6,17.08,19.4,38.2,1007.9
0,12.42,12.6,72.8,1007.1
83.006,11.8,7,86.8,996.48
892.95,27.34,25,27.2,1008
416.92,20.52,16.8,40,994.44
277.46,16.38,12.6,68.6,999.8
589.16,17.62,11.4,68.6,1000.9
5.58,16.48,27.2,80.4,995.3
0,13.532,11,68.265,1002.2
0,12.32,11.8,73,1007.1
0,15.92,12.2,59.8,996.68
0,21.2,18.6,70.6,992.54
0,15.12,17,82.6,992.4
0,15.18,24,60.8,997.8
365.83,21.14,10.8,80.6,997.76
0,20.54,8,77.4,997.96
0,11.008,11,86.585,1009.1
0,13.8,11.8,72.2,999.48
1023.5,18.66,14.2,54,1005.6
882.91,18.46,28.8,53.2,1003.8
246.21,10.96,8.4,76.2,1001.8
530.98,22.66,18,48.4,991.6
0,10.6,9.8,69.6,1003.3
623.23,19.42,28.4,57.4,1002.9
620.41,26.42,20.8,43.6,995.6
0,13.8,8,88.2,992.4
912.13,18.9,10.8,41,1001
0,18.98,10.2,64.8,997.18
0,19.296,12.846,53.09,1007
0,10.26,8,82.8,1001.6
671.67,30.7,40.6,54.4,988.88
1206.4,19.78,15.2,49.2,999.5
429.52,24.64,16.4,63.4,996.96
738.71,17.12,23.6,40.8,1006.9
1052.3,34.32,30,21.6,997.5
50.594,8.62,15.4,88.4,997.4
0,7.98,13,91.4,998.52
489.52,19.9,26.8,47.4,998.06
766.39,33.7,23.2,15.2,995.86
705.13,33.72,26.6,17,995.68
1088.3,23.42,10.6,31.2,998.84
87.34,15.54,26,72.2,999.4
38.234,25.8,30,45.2,993.06
729.09,18.98,10.8,46,998.14
0,27.06,30.8,30.4,992.72
0,12.68,9.4,87,994.08
0,17.3,10.2,90,997
83.526,11.36,8,89.2,1011.5
969.59,18.44,19.8,54,1005.8
273.81,22.82,23.2,58.6,987.4
0,14.1,18.8,71.4,1005.1
148.85,17.1,11.8,68.6,992.1
0,24.1,19.6,91,987.42
604.93,20.62,28.8,33,995.24
0,26.78,22.2,32,993.3
51.7,16.08,38.8,90.2,983.2
949.21,21.62,9.6,48,992.52
0,16.7,11,67,999.7
350.04,23.08,19.2,52.2,990.42
28.58,14.68,18,61,1000.9
1022.3,19.48,36.2,40.2,997.38
362.43,20.26,15.8,40,994.5
954.85,20.4,30.4,38.6,994.58
0,9.36,14.6,89.8,996.74
819.56,36.78,44.2,22.8,984.6
161.96,30.78,23.6,27,991.56
10.19,14.72,13,82.2,995.7
73.388,19.82,17.6,50.8,999.48
920.85,25.12,10.6,59.8,986.96
35.426,27.66,39,41.8,988.04
841.96,18.44,30.2,39.2,1009.5
43.096,16.2,32,88.4,983.96
0,9.36,9,78,1001.8
0,14.5,22,70,1006
699.48,17.2,8,58.2,999.8
0,15.632,12.219,65.616,1003.5
364.91,17.9,31.6,72.4,983.8
0,14.1,19.2,70.2,1005.7
0,17.8,15,92.8,998.5
0,13.34,22,48.8,1005.8
4.324,17.2,17.4,79.2,990.26
100.18,19.34,15,83.4,987.38
0,11.04,5,90.8,994.22
248.29,20.16,12.6,41,994.7
0,12.307,6.9645,88.023,994.17
782.3,29.34,23,37.2,996.5
0,10.76,14.2,88,997.22
0,12.875,27.839,79.088,991.89
0,13.28,19,49.2,1005.8
474.28,23.72,18.6,50.8,990.48
0,10.6,9,70,1003.3
96.856,11.44,9.4,89,1011.5
0,26.54,26.4,60.6,988.44
849.06,19.3,46.8,23.2,998.9
637.18,20.12,52.4,34.8,986.04
0,20.5,45.2,74,991.4
568.23,27.9,24,14.6,994.7
0,9.02,8.8,67.8,1004.1
